split,query_id,citation,present_as_text_reference,parent_count_global,parent_in_same_query_gold,same_query_gold_parents,sample_global_parents,status
train,train_0009,Art. 337 OR,True,245,False,,1C_245/2008 02.03.2009 E. 5;1C_277/2007 30.06.2008 E. 6;1C_42/2007 29.11.2007 E. 3.5;1C_514/2023 E. 5.1;1C_514/2023 E. 7.1;2A.495/2006 30.04.2007 E. 4;2A.518/2003 10.02.2004 E. 5;2A.656/2006 15.10.2007 E. 5;2D_36/2017 E. 2.4;4A_101/2012 31.05.2012 E. 2;4A_109/2016 E. 4.1;4A_109/2016 E. 4.2;4A_109/2016 E. 4.3;4A_115/2022 E. 4.2;4A_115/2022 E. A;4A_132/2016 E. 3.2.2;4A_138/2022 E. 4;4A_140/2009 12.05.2009 E. 5;4A_148/2011 08.09.2011 E. 4;4A_151/2025 E. 3.1.1,has_parents_but_none_in_same_query_gold
train,train_0009,Art. 361 OR,True,38,False,,4A_112/2023 E. 4.1;4A_183/2012 11.09.2012 E. 4;4A_194/2013 E. 4.3;4A_196/2013 E. 4.3;4A_198/2013 E. 4.3;4A_200/2013 E. 4.3;4A_202/2013 E. 4.3;4A_204/2013 E. 4.3;4A_222/2024 E. 5.1.1;4A_31/2021 E. 3.2.1;4A_357/2022 E. 2.2.1;4A_42/2011 15.07.2011 E. 5;4A_45/2017 E. 6.2;4A_579/2017 E. 5.4.1;4A_619/2019 E. 3.1;4A_673/2016 E. 4;4A_72/2015 E. 3.2;4A_72/2018 E. 4.4.1;4C.18/2002 26.04.2002 E. 3;4C.184/2000 24.10.2000 E. 3,has_parents_but_none_in_same_query_gold
train,train_0010,Art. 11 StGB,True,159,False,,1B_191/2012 03.08.2012 E. A;1B_245/2016 E. 5;1B_322/2017 E. 4.2;1B_52/2015 E. 4.3;1C_263/2015 E. 1;1C_269/2015 E. 1;1C_306/2015 E. 2.3;1C_438/2016 E. 4.1;1C_441/2021 E. 3.3;1C_454/2022 E. 4.3.3;1C_493/2020 E. 4.3.2;1C_57/2018 E. 3;1P.219/2001 12.07.2001 E. 1;1P.219/2001 12.07.2001 E. 2;1P.527/2003 10.12.2003 E. 2;1P.550/2002 14.01.2003 E. 2;1P.758/2000 01.02.2001 E. 2;1P.758/2000 01.02.2001 E. 5;2A.149/2003 09.07.2003 E. 3;6B_1015/2019 E. 4.5.2,has_parents_but_none_in_same_query_gold
train,train_0010,Art. 158 StGB,True,250,False,,1A.101/2000 18.07.2000 E. 4;1A.105/2000 18.07.2000 E. 4;1A.109/2000 18.07.2000 E. 3;1A.110/2000 18.07.2000 E. 5;1A.125/2006 10.08.2006 E. 2;1A.153/2004 07.09.2004 E. 4;1A.153/2004 07.09.2004 E. A;1A.153/2004 07.09.2004 E. B;1A.161/2005 12.07.2005 E. 2;1A.175/2004 25.11.2004 E. 2;1A.178/2006 19.01.2007 E. 2;1A.188/2005 24.10.2005 E. 2;1A.194/2005 18.08.2005 E. 3;1A.197/2000 21.07.2000 E. 2;1A.197/2000 21.07.2000 E. I;1A.199/2004 07.01.2005 E. 7;1A.24/2004 11.08.2004 E. 7;1A.247/1999 24.01.2000 E. 3;1A.257/2003 28.01.2004 E. 6;1A.268/2005 17.11.2005 E. 5,has_parents_but_none_in_same_query_gold
train,train_0010,Art. 102 StGB,True,55,False,,1B_188/2011 01.06.2011 E. 1;1B_188/2011 01.06.2011 E. B;1B_249/2015 E. 3.3;1B_249/2015 E. 6;1B_505/2019 E. 3.4;1B_516/2011 17.11.2011 E. 2;2A.168/2006 08.03.2007 E. 3;2C_147/2007 23.01.2008 E. 6;2C_175/2024 E. 8.4.3;2C_192/2019 E. 3.2;2C_192/2019 E. 4.3;2C_192/2019 E. 5.4.1;2C_383/2020 E. 4.7.2;2C_484/2010 E. 3.2;2C_916/2014 E. 7.2;2C_950/2012 E. 6.2.1;4A_249/2024 E. 1.1;4A_249/2024 E. B;5A_25/2025 E. 1.3;5A_25/2025 E. 6,has_parents_but_none_in_same_query_gold
train,train_0010,Art. 706 OR,True,62,False,,4A_10/2012 02.10.2012 E. 3;4A_10/2012 02.10.2012 E. 3.2;4A_160/2016 E. 2.3.7;4A_166/2016 E. 3.3.7;4A_203/2017 E. 1;4A_260/2018 E. 3.2.2;4A_288/2011 13.02.2012 E. 4;4A_288/2011 13.02.2012 E. B;4A_288/2011 13.02.2012 E. C;4A_295/2021 E. 4.4;4A_321/2008 05.08.2010 E. 6;4A_331/2008 15.09.2008 E. 4;4A_340/2021 E. 6.2;4A_340/2021 E. 6.5.2;4A_351/2008 05.08.2010 E. 4;4A_363/2013 E. 3.3.1;4A_364/2017 E. 5.2.3;4A_380/2022 E. 9.3;4A_380/2022 E. B;4A_384/2022 E. 1.3.1,has_parents_but_none_in_same_query_gold
train,train_0010,Art. 717 OR,True,91,False,,2A.252/2002 04.11.2002 E. 2;2C_1067/2017 E. 3.4.2;2C_110/2017 E. 3.5;2C_265/2009 01.09.2009 E. 3;2C_272/2011 05.12.2011 E. 3.3;2C_708/2012 E. 4.3;2C_88/2011 03.10.2011 E. 2;2C_989/2019 E. 1.1;4A_129/2013 E. 4.2;4A_130/2023 E. 3.5;4A_134/2007 31.07.2007 E. 3;4A_15/2013 E. 7.2.2;4A_151/2014 E. 4.1.2;4A_180/2017 E. 5.2;4A_219/2015 E. 3.2;4A_219/2015 E. 4.1;4A_231/2011 20.09.2011 E. 5;4A_248/2009 27.10.2009 E. 4;4A_250/2025 E. 5.2.2;4A_250/2025 E. 5.4.2,has_parents_but_none_in_same_query_gold
train,train_0010,Art. 643 OR,True,6,False,,2C_196/2017 E. 4.3.1;4A_64/2024 E. 3.3.7;4C.164/2001 13.12.2001 E. 4;5A_353/2019 E. 3.6;BGE 128 III 137 E. 4b;BGE 145 II 49 E. 4.3.1,has_parents_but_none_in_same_query_gold
train,train_0011,Art. 65 StGB,True,86,False,,1A.134/2001 11.12.2001 E. 5;1A.194/2005 18.08.2005 E. 3;1B_136/2013 22.04.2013 E. 3;1B_370/2020 E. 2.2;1B_4/2010 21.01.2010 E. 3;1B_548/2017 E. 3.1;1P.615/2001 15.10.2001 E. 4;1P.617/2001 15.10.2001 E. 4;1P.627/2002 04.03.2003 E. 3;1P.690/2004 14.12.2004 E. 2;1P.857/2005 13.01.2006 E. 4;5A_407/2019 E. 8.2;6B_1027/2021 E. 2.3;6B_1098/2018 E. 1.7;6B_1107/2021 E. 3.4;6B_160/2010 01.06.2010 E. 1;6B_171/2016 E. 2.1;6B_171/2016 E. 2.3;6B_171/2016 E. 2.8;6B_237/2019 E. 2.4,has_parents_but_none_in_same_query_gold
train,train_0012,Art. 50 FINMAG,True,1,False,,2C_192/2019 E. 4.3,has_parents_but_none_in_same_query_gold
train,train_0012,Art. 156 FinfraG,False,0,False,,,no_parent_edges_found
train,train_0013,Art. 8 DSG,True,125,False,,1A.212/2003 30.08.2004 E. 11;1A.212/2003 30.08.2004 E. 13;1A.225/2002 27.05.2003 E. 1;1A.241/2003 03.03.2004 E. 1;1A.241/2003 03.03.2004 E. 3;1A.314/2000 05.03.2001 E. 7;1C_270/2011 29.08.2011 E. 4;1C_285/2009 08.09.2010 E. 3;1C_285/2009 08.09.2010 E. 6;1C_289/2009 02.11.2011 E. 3;1C_289/2009 02.11.2011 E. 7;1C_377/2019 E. 3.2;1C_377/2019 E. 4.3;1C_377/2019 E. 9.2;1C_425/2020 E. 2;1C_425/2020 E. 2.1;1C_425/2020 E. 2.3;1C_425/2020 E. 3.4.2;1C_425/2020 E. 4.3;1C_425/2020 E. A,has_parents_but_none_in_same_query_gold
train,train_0013,Art. 8 Abs. 5 DSG,True,9,False,,4A_125/2020 E. 3.4.2;4A_125/2020 E. 3.4.3;4A_125/2020 E. 3.4.5;4A_215/2014 E. B;4A_588/2018 E. 4.2;4A_588/2018 E. A;BGE 147 III 139 E. 3.4.2;BGE 147 III 139 E. 3.4.3;BGE 147 III 139 E. 3.4.5,has_parents_but_none_in_same_query_gold
train,train_0013,Art. 9 Abs. 5 DSG,True,2,False,,13Y_1/2022 E. 4.3;1C_597/2020 E. 5.1,has_parents_but_none_in_same_query_gold
train,train_0014,Art. 13 BV,True,2239,False,,1A.104/1999 05.04.2000 E. 6;1A.214/2005 23.01.2006 E. 5;1A.23/2005 04.07.2005 E. 5;1B_101/2008 28.10.2008 E. 2;1B_101/2008 28.10.2008 E. 3;1B_103/2021 E. 3.2;1B_115/2016 E. 2.4.1;1B_116/2016 E. 2.4.1;1B_131/2015 E. 3;1B_134/2011 14.07.2011 E. 4;1B_146/2016 E. 2.1;1B_175/2013 E. 1.3;1B_175/2013 E. 4.2.3;1B_191/2018 E. 1.3;1B_191/2018 E. 2;1B_193/2017 E. 3.5.1;1B_206/2007 07.01.2008 E. 6;1B_229/2017 E. 1.5;1B_231/2013 E. 3.3;1B_231/2015 E. 2.3,has_parents_but_none_in_same_query_gold
train,train_0014,Art. 36 BV,True,1471,False,,1A.104/1999 05.04.2000 E. 6;1A.129/2002 09.04.2003 E. 3;1A.151/2001 16.07.2002 E. 5;1A.159/2005 20.02.2006 E. 2;1A.162/2002 10.12.2002 E. 3;1A.198/2002 21.08.2003 E. 3;1A.212/2006 31.05.2007 E. 4;1A.219/2005 28.02.2006 E. 2;1A.219/2005 28.02.2006 E. 3;1A.220/2006 16.03.2007 E. 4;1A.240/2002 13.05.2003 E. 2;1A.244/2000 08.11.2001 E. 8;1A.65/2002 30.07.2002 E. 8;1A.73/1999 07.06.2000 E. 2;1B_10/2008 30.01.2008 E. 5;1B_102/2011 22.03.2011 E. 2;1B_103/2014 E. 2.2;1B_103/2018 E. 2.3;1B_11/2022 E. 3.2;1B_11/2022 E. 3.4,has_parents_but_none_in_same_query_gold
train,train_0015,Art. 83 AIG,True,19,True,Art. 41 Abs. 2 AIG,2C_116/2019 E. 2.2;2C_163/2020 E. 4.2;2C_392/2023 E. 3.3;2C_45/2021 E. 1.2;2C_487/2020 E. 5.2.4;2C_490/2019 E. 5.1;2C_670/2023 E. 2.2;2C_670/2023 E. 3.1;2C_685/2021 E. 2.3;2C_695/2022 E. 6;2C_891/2021 E. 1.4;6B_1024/2019 E. 1.3.5;6B_1471/2021 E. 2.4.3;6B_494/2025 E. 5.4;6B_743/2025 E. 6;Art. 1 Abs. 2 KVV;Art. 36 Abs. 6 VZAE;Art. 41 Abs. 2 AIG;Art. 65 Abs. 3 AIG,parent_in_same_query_gold
train,train_0016,Art. 4 StromVV,True,11,False,,2C_269/2012 27.10.2012 E. 3.4;2C_297/2019 E. 7.2;2C_488/2020 29.03.2023 E. 3.1;2C_518/2012 23.11.2012 E. 2;2C_681/2015 20.07.2016 E. 4.2.1;2C_681/2015 20.07.2016 E. 5.2.7;2C_739/2010 06.07.2011 E. C;BGE 138 I 454 E. 3.6.3;BGE 142 II 451 E. 4.2.1;BGE 142 II 451 E. 5.2.7.1;BGE 149 II 187 E. 3.1,has_parents_but_none_in_same_query_gold
train,train_0016,Art. 15 StromVG,True,25,False,,1C_433/2022 E. 5.1;2C_201/2021 E. 3.5;2C_201/2021 E. 3.7;2C_21/2024 E. B;2C_23/2024 E. 3.2;2C_23/2024 E. 3.5.1;2C_23/2024 E. A;2C_25/2011 03.07.2012 E. 6;2C_25/2011 03.07.2012 E. 9;2C_269/2012 27.10.2012 E. 3.4;2C_297/2019 E. 4.4.1;2C_297/2019 E. 5.4.1;2C_399/2017 E. 4.2;2C_399/2017 E. 9.2.2;2C_518/2012 23.11.2012 E. 2;2C_549/2013 E. 2.3;2C_632/2016 E. 4.1.1;Art. 17 Abs. 5 StromVG;Art. 20a Abs. 5 StromVG;Art. 22 Abs. 5 WResV,has_parents_but_none_in_same_query_gold
train,train_0018,Art. 9 SebG,True,1,False,,Art. 25 Abs. 1 SebG,has_parents_but_none_in_same_query_gold
train,train_0018,Art. 32 VGG,True,6,False,,1C_332/2018 E. 2.1;2A.629/2006 20.09.2007 E. 4;2C_1042/2016 E. 6;2C_1043/2016 E. 6;2C_1044/2016 E. 6;2C_320/2024 E. 1.2.5,has_parents_but_none_in_same_query_gold
train,train_0020,Art. 3 AsylG,True,32,True,Art. 54 AsylG,1A.267/2005 14.12.2005 E. 3;1C_195/2012 15.10.2012 E. 7;1C_218/2014 E. 3.1;1C_314/2014 E. 6.1;1C_314/2014 E. 6.2;1C_354/2017 E. 3.1;1C_390/2012 E. 2;2A.280/1999 09.08.2000 E. 3;2A.548/2003 26.11.2003 E. 2;2C_214/2013 E. 3.2;2C_278/2021 E. 2.3;2C_315/2018 E. 2.2.3;2C_588/2019 E. 5.1;2C_766/2019 E. 7.1;5A_824/2014 E. 2;6B_1471/2021 E. 3.3.3;6B_2/2008 13.10.2008 E. 3;6B_2/2023 E. 1.4.3;6S.353/2005 08.12.2005 E. 3.4;8C_1031/2009 22.12.2010 E. 2,parent_in_same_query_gold
train,train_0020,Art. 55 AsylG,True,1,False,,Art. 24c Abs. 3 AsylG,has_parents_but_none_in_same_query_gold
train,train_0022,Art. 26 ArGV 3,True,6,False,,6B_181/2018 E. 4.3;6B_536/2009 12.11.2009 E. 2;6B_536/2009 12.11.2009 E. 3.3;6B_536/2009 12.11.2009 E. 3.4;9C_785/2010 10.06.2011 E. 2;BGE 145 IV 42 E. 4.3,has_parents_but_none_in_same_query_gold
train,train_0023,Art. 426 ZGB,True,103,False,,1B_364/2012 11.09.2012 E. 1;4A_106/2008 15.05.2008 E. 6;4A_221/2025 E. 2.3.1;5A_1003/2017 E. 1.2;5A_1003/2017 E. 3.1;5A_1063/2019 E. 1;5A_12/2015 E. A;5A_122/2019 E. 2;5A_147/2007 06.06.2007 E. 3;5A_147/2007 06.06.2007 E. B;5A_147/2015 E. 1;5A_162/2020 E. 2.3;5A_162/2020 E. 3.4;5A_175/2020 E. 6.4;5A_189/2013 11.04.2013 E. 2;5A_19/2012 24.05.2012 E. 6;5A_208/2011 24.06.2011 E. 2;5A_221/2015 E. A;5A_228/2016 E. 4.3.2;5A_233/2021 E. 3.1,has_parents_but_none_in_same_query_gold
train,train_0024,Art. 221 StPO,True,365,False,,1B_1/2023 E. 6.2;1B_100/2018 E. 3.1;1B_101/2018 E. 2.2;1B_101/2021 E. 2;1B_102/2011 22.03.2011 E. 2;1B_104/2016 E. 2;1B_104/2018 E. 2.1;1B_106/2021 E. 2.2;1B_106/2022 E. 3;1B_114/2017 E. 2.1;1B_116/2019 E. 2.2;1B_118/2023 E. 2;1B_12/2013 01.02.2013 E. 7;1B_123/2014 E. 5;1B_124/2023 E. 2;1B_124/2023 E. 3;1B_125/2020 E. 2;1B_126/2011 06.04.2011 E. 2;1B_129/2015 E. 2;1B_129/2015 E. 3.1,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 10 URG,True,22,False,,2C_244/2022 E. 10.8.2;2C_561/2022 E. 7.3.3;2C_685/2016 13.12.2017 E. 5.1;4A_203/2015 E. 3.4.1;4A_295/2014 E. 3.4.1;4A_295/2014 E. 3.4.2;4A_295/2014 E. 3.4.3;4A_295/2014 E. 3.6.4;4A_404/2007 13.02.2008 E. 1;4A_404/2007 13.02.2008 E. B;4A_423/2011 26.09.2011 E. 5;4A_78/2011 02.05.2011 E. 3;4C.101/2005 02.06.2005 E. B;4C.73/2007 26.06.2007 E. 4;6P.9/2006 05.07.2006 E. 8;Art. 22b Abs. 2 URG;BGE 126 III 129 E. 6c;BGE 133 III 473 E. 4.4;BGE 140 III 616 E. 3.4.2;BGE 140 III 616 E. 3.4.3,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 11 URG,True,9,False,,4A_423/2011 26.09.2011 E. 5;4C.393/2004 22.06.2005 E. 1;4C.393/2004 22.06.2005 E. 4;Art. 18 URG;Art. 24b Abs. 2 URG;BGE 131 III 480 E. 1.4;BGE 131 III 480 E. 4;BGE 131 III 480 E. 4.1;BGE 131 III 480 E. 4.2,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 25 URG,True,12,False,,2C_260/2023 E. 6.2;4C.393/2004 22.06.2005 E. 1;4C.393/2004 22.06.2005 E. 2;4C.393/2004 22.06.2005 E. 3;4C.393/2004 22.06.2005 E. 4;Art. 68 URG;BGE 131 III 480 E. 1.4;BGE 131 III 480 E. 2.1;BGE 131 III 480 E. 2.2;BGE 131 III 480 E. 3.1;BGE 131 III 480 E. 3.2;BGE 131 III 480 E. 4.2,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 19 URG,True,51,False,,2C_580/2012 13.11.2012 E. 2;2C_685/2016 13.12.2017 E. 5.3.2;4A_203/2015 E. 3;4A_203/2015 E. 3.1;4A_203/2015 E. 3.4.1;4A_295/2014 E. 3;4A_295/2014 E. 3.2;4A_295/2014 E. 3.4.1;4A_295/2014 E. 3.4.3;4A_295/2014 E. 3.4.4;4A_295/2014 E. 3.5.2;4A_295/2014 E. 3.5.3;4A_295/2014 E. 3.6.2;4A_295/2014 E. 3.6.3;4A_295/2014 E. 3.6.4;4A_295/2014 E. 3.6.5;4A_433/2018 E. 2.2.2;4A_433/2018 E. 2.3.2;4A_522/2007 15.02.2008 E. 2;4C.73/2007 26.06.2007 E. 2,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 12 URG,True,3,False,,BGE 124 III 321 E. 2a;BGE 124 III 489 E. 1;BGE 126 III 129 E. 6a,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 28 URG,True,3,False,,4C.393/2004 22.06.2005 E. 1;Art. 68 URG;BGE 131 III 480 E. 1.3,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 28 ZGB,True,491,False,,1B_143/2011 01.06.2011 E. 4;1B_21/2012 27.03.2012 E. 2;1B_22/2012 11.05.2012 E. 2;1B_245/2015 E. 5.2;1B_294/2014 E. 3;1B_320/2015 E. 4.6;1B_562/2011 02.02.2012 E. 4;1B_562/2011 02.02.2012 E. 6;1B_643/2022 06.04.2023 E. 2;1B_652/2011 03.04.2012 E. 2;1B_75/2017 E. 4.1.2;1B_94/2019 E. 2.2;1C_175/2021 E. 5.3.1;1C_230/2011 31.05.2012 E. 10.6;1C_230/2011 31.05.2012 E. 12;1C_230/2011 31.05.2012 E. 8;1C_275/2012 21.09.2012 E. 1;1C_277/2023 E. 2.4;1C_382/2007 24.04.2008 E. 2;1C_382/2007 24.04.2008 E. 3,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 3 DSG,True,31,False,,1A.225/2002 27.05.2003 E. 1;1C_214/2016 E. 4.4;1C_214/2016 E. 6.4;1C_230/2011 31.05.2012 E. 6;1C_285/2009 08.09.2010 E. 3;1C_394/2016 E. 4.2;1C_425/2020 E. 3.4.2;1C_50/2015 E. 5.2.1;1C_74/2015 E. 3.2;1C_93/2021 E. 4.3.3;2A.692/2006 01.02.2007 E. 4;2C_1065/2014 E. 6.1;2C_726/2018 E. 3.4;4A_125/2020 E. 3.1;4A_125/2020 E. 3.3;4A_125/2020 E. 3.4.1;4A_365/2017 E. 5.2.2;5C.166/2000 20.07.2001 E. 3;BGE 124 III 170 E. 3b;BGE 127 III 481 E. 3bb,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 4 Abs. 4 DSG,True,27,False,,1C_230/2011 31.05.2012 E. 9;1C_415/2020 E. 2.1;2C_171/2016 E. 4.1;2C_825/2019 E. 4.4;2C_825/2019 E. 4.5;2C_874/2020 E. 6.4.4;4A_588/2018 E. 4.2;6B_1133/2021 E. 2.2;6B_1133/2021 E. 2.4.1;6B_1188/2018 E. 3.1;6B_1188/2018 E. 3.2;6B_1188/2018 E. 4;6B_1404/2019 E. 1.2;6B_1404/2019 E. 1.3.2;6B_1404/2019 E. 1.4;6B_1468/2019 E. 1.3.2;6B_345/2024 E. 2.1.3;6B_68/2023 E. 2.1.2;6B_810/2020 E. 2.6.2;7B_797/2023 E. 3.2,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 14 DSG,True,3,False,,1B_99/2020 E. 2.3;8C_736/2018 E. 3.3.1;Art. 51 Abs. 4 DSG,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 4 Abs. 3 DSG,True,34,False,,1A.225/2002 27.05.2003 E. 4;1C_230/2011 31.05.2012 E. 9;1C_394/2016 E. 4.10;1C_428/2016 E. 1.2;2A.355/1999 01.05.2000 E. 5;2A.424/2000 13.02.2001 E. 2;2A.96/2000 25.07.2001 E. 6;2C_1039/2018 18.03.2021 E. 6.4.1;2C_1039/2018 18.03.2021 E. 6.4.2;2C_1039/2018 18.03.2021 E. 6.4.3;2C_1039/2018 18.03.2021 E. 7.4.1;2C_1039/2018 18.03.2021 E. 7.4.2;2C_1040/2018 18.03.2021 E. 6.4.1;2C_1040/2018 18.03.2021 E. 6.4.2;2C_1040/2018 18.03.2021 E. 6.4.3;2C_1040/2018 18.03.2021 E. 7.4.1;2C_1040/2018 18.03.2021 E. 7.4.2;2C_171/2016 E. 4.1;2C_776/2013 E. 5.2.2;2C_825/2019 E. 5.3.6,has_parents_but_none_in_same_query_gold
train,train_0026,Art. 34 DSG,True,3,False,,1B_472/2012 23.01.2013 E. A;6B_125/2023 E. 2.2;6B_798/2019 E. 4.1,has_parents_but_none_in_same_query_gold
train,train_0027,Art. 62b RVOG,True,6,False,,1A.73/2002 06.10.2003 E. 3;1C_480/2010 23.02.2011 E. 3;1C_58/2010 22.12.2010 E. 2.3;1C_58/2010 22.12.2010 E. 2.3.1;1C_58/2010 22.12.2010 E. 2.3.2;1C_78/2012 10.10.2012 E. 4,has_parents_but_none_in_same_query_gold
train,train_0028,Art. 28 ZGB,True,491,False,,1B_143/2011 01.06.2011 E. 4;1B_21/2012 27.03.2012 E. 2;1B_22/2012 11.05.2012 E. 2;1B_245/2015 E. 5.2;1B_294/2014 E. 3;1B_320/2015 E. 4.6;1B_562/2011 02.02.2012 E. 4;1B_562/2011 02.02.2012 E. 6;1B_643/2022 06.04.2023 E. 2;1B_652/2011 03.04.2012 E. 2;1B_75/2017 E. 4.1.2;1B_94/2019 E. 2.2;1C_175/2021 E. 5.3.1;1C_230/2011 31.05.2012 E. 10.6;1C_230/2011 31.05.2012 E. 12;1C_230/2011 31.05.2012 E. 8;1C_275/2012 21.09.2012 E. 1;1C_277/2023 E. 2.4;1C_382/2007 24.04.2008 E. 2;1C_382/2007 24.04.2008 E. 3,has_parents_but_none_in_same_query_gold
