split,citation,mention_count_in_split,pattern_covered,family,subfamily,pattern,present_in_laws_de_source,present_in_laws_de_text,present_in_court_source,present_in_court_text,present_in_source_column_any,present_as_text_reference_any,present_in_any_extracted,text_reference_only_any
train,Art. 9 Abs. 4 DSG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 9 Abs. 5 DSG,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 13 BV,9,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 36 BV,9,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 83 AIG,3,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 44 AsylG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 83 Abs. 2 AIG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 83 Abs. 3 AIG,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 25 Abs. 3 BV,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 83 Abs. 4 AIG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 41 Abs. 2 AIG,1,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 4 StromVV,4,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 6 Abs. 3 StromVG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 4 Abs. 1 StromVV,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 15 StromVG,1,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 15 Abs. 1 StromVG,1,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 15 Abs. 2 StromVG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 15 Abs. 3 StromVG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 49 Abs. 1 BV,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 22 Abs. 2 StromVG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 58 Abs. 1 FIDLEG,1,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 3 FIDLEG,7,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 59 Abs. 1 FIDLEG,2,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 86 Abs. 3 FIDLEV,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 9 SebG,6,True,law,statute_article,statute_article,False,True,False,False,False,True,True,True
train,Art. 32 VGG,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 86 Abs. 1 BGG,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 83 BGG,4,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 86 Abs. 2 BGG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 32 Abs. 1 OR,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 396 Abs. 1 OR,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 33 Abs. 3 OR,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 396 Abs. 3 OR,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 3 AsylG,4,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 49 AsylG,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 53 AsylG,2,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 54 AsylG,5,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 55 AsylG,1,True,law,statute_article,statute_article,False,True,False,False,False,True,True,True
train,Art. 7 Abs. 3 FINMAG,4,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 26 ArGV 3,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 15 Abs. 2 JStG,5,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 19 Abs. 3 JStG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 426 Abs. 1 ZGB,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 426 ZGB,1,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 19 Abs. 2 JStG,2,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 221 StPO,3,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 20 Abs. 3 DBG,6,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 20 Abs. 1 DBG,20,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 2 Abs. 2 URG,8,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 10 URG,1,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 9 Abs. 2 URG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 19 Abs. 1 URG,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 11 URG,4,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 25 URG,4,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 19 URG,2,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 12 URG,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 28 URG,2,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 62 Abs. 1 URG,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 28 ZGB,11,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 3 DSG,8,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 4 Abs. 1 DSG,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 4 Abs. 2 DSG,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 4 Abs. 4 DSG,6,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 14 DSG,5,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 4 Abs. 3 DSG,3,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 5 DSG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 34 DSG,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 62b RVOG,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 16 Abs. 2 EleG,2,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 62b Abs. 3 RVOG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 186 Abs. 2 IPRG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 9 GwG,4,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 37 GwG,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 8 ZGB,8,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 51 Abs. 3 ZPO,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 308 ZPO,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 309 ZPO,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 47 Abs. 1 ZPO,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 40 PatG,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 40a PatG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 90 SchKG,1,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 91 Abs. 1 SchKG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 17 Abs. 1 SchKG,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 17 Abs. 2 SchKG,3,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 31 SchKG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 960e OR,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 960a Abs. 4 OR,2,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 8a SchKG,6,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 271 SchKG,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 271 Abs. 1 SchKG,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 82 SchKG,2,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 83 Abs. 1 SchKG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 82 Abs. 1 SchKG,3,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 257 ZPO,1,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 257 Abs. 1 ZPO,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 243 Abs. 1 ZPO,6,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 354 ZPO,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 341 Abs. 1 OR,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 337c OR,1,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 722 OR,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 75 ZGB,2,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 641 Abs. 2 ZGB,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 679 ZGB,4,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 58 Abs. 1 SVG,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 7 SVG,3,True,law,statute_article,statute_article,False,True,False,False,False,True,True,True
train,Art. 71 Abs. 1 SVG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 58 Abs. 2 SVG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 49 OR,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 24 Abs. 1 UVG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 74 Abs. 2 ATSG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 21 JStG,4,True,law,statute_article,statute_article,False,True,False,False,False,True,True,True
train,Art. 11 Abs. 1 JStG,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 21 Abs. 1 JStG,3,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 56 Abs. 1 DBG,2,True,law,statute_article,statute_article,False,False,False,False,False,False,False,False
train,Art. 58 Abs. 1 DBG,12,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 959 Abs. 2 OR,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 4 Abs. 1 VStG,14,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 20 Abs. 1 VStV,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 14 Abs. 1 VStG,3,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 20 Abs. 1 VStG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 24 Abs. 1 VStV,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 15 FIDLEG,1,True,law,statute_article,statute_article,False,True,False,False,False,True,True,True
train,Art. 2 Abs. 1 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 973c OR,2,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 973d OR,2,True,law,statute_article,statute_article,False,True,False,False,False,True,True,True
train,Art. 2 Abs. 1 FinfraV,2,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 3 FINIG,3,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 19 FINIV,2,True,law,statute_article,statute_article,False,False,False,False,False,False,False,False
train,Art. 2 HRegV,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 6 BankV,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 8 Abs. 1 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 8 Abs. 2 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 9 Abs. 1 FIDLEV,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 8 Abs. 3 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 8 Abs. 4 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 58 FIDLEG,1,True,law,statute_article,statute_article,False,True,False,False,False,True,True,True
train,Art. 2 Abs. 2 FIDLEV,3,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 8 Abs. 5 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 9 Abs. 1 FIDLEG,2,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 10 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 11 FIDLEG,1,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 12 FIDLEG,2,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 5 Abs. 1 FIDLEG,1,True,law,statute_article,statute_article,False,False,False,False,False,False,False,False
train,Art. 17 FIDLEV,1,True,law,statute_article,statute_article,False,False,False,False,False,False,False,False
train,Art. 14 Abs. 2 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 14 Abs. 3 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 398 Abs. 2 OR,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 26 Abs. 3 FIDLEG,1,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 400 OR,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 26 FIDLEG,2,True,law,statute_article,statute_article,False,True,False,False,False,True,True,True
train,Art. 26 Abs. 1 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 26 Abs. 2 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 25 Abs. 1 FIDLEG,1,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 25 Abs. 2 FIDLEG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 25 Abs. 3 FIDLEG,1,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 27 FIDLEV,1,True,law,statute_article,statute_article,False,False,False,False,False,False,False,False
train,Art. 398 OR,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 12 Abs. 1 DSG,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 13 DSG,7,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 13 Abs. 1 DSG,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 204 Abs. 1 ZPO,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 204 Abs. 3 ZPO,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 68 Abs. 2 ZPO,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 27 Abs. 1 SchKG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 20a Abs. 1 DBG,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 16 Abs. 3 DBG,14,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 216 Abs. 2 ZPO,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 90 ZPO,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 93 ZPO,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 197 ZPO,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 198 ZPO,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 154 Abs. 4 FinfraG,2,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 24 BV,3,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 27 BV,7,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 13 Abs. 1 BV,11,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 10 Abs. 3 BV,9,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 7 BV,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 271 Abs. 2 SchKG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 254 Abs. 1 ZPO,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 29 Abs. 2 URG,1,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 3 URG,5,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 2 Abs. 1 URG,7,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 11 Abs. 1 URG,3,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 41 Abs. 1 OR,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 969 Abs. 1 ZGB,7,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 969 ZGB,5,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 965 Abs. 1 ZGB,6,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 968 ZGB,6,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 144 StGB,11,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 18 JStPO,1,True,law,statute_article,statute_article,True,True,False,False,True,True,True,False
train,Art. 19 Abs. 2 JStPO,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 130 StPO,3,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 22 Abs. 1 StGB,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 48a StGB,1,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 131 StPO,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 131 Abs. 1 StPO,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 131 Abs. 2 StPO,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 307 Abs. 1 StPO,2,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 131 Abs. 3 StPO,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 141 Abs. 2 StPO,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,BGE 141 IV 20 E. 1.1.4,1,True,court,bge,court_bge,False,False,True,True,True,True,True,False
train,BGE 141 IV 289 E. 2.3,1,True,court,bge,court_bge,False,False,True,True,True,True,True,False
train,Art. 175 Abs. 1 DBG,1,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 181 Abs. 1 DBG,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 176 DBG,3,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 181 Abs. 3 DBG,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 177 DBG,3,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 186 Abs. 1 DBG,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 60 IPRG,2,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 64 IPRG,1,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 1 LugÜ,1,True,law,statute_article,statute_article,False,False,False,False,False,False,False,False
train,Art. 2 Abs. 1 LugÜ,8,True,law,statute_article,statute_article,False,False,False,False,False,False,False,False
train,Art. 64 Abs. 1 IPRG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 59 IPRG,4,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 65 Abs. 1 IPRG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 65 Abs. 2 IPRG,2,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 64 Abs. 2 IPRG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 49 IPRG,4,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 12 VwVG,1,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 37 VGG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 7 Abs. 1 BankG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 8 Abs. 3 BankG,1,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 36 Abs. 1 BV,6,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 5 Abs. 1 BV,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 5 Abs. 2 BV,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 36 Abs. 3 BV,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 57 BV,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
